"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].
This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/NCBI.Datasets.API/NCBIDatasetsClient.cs","139","77","139","86"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].","/Ribosoft/Controllers/AssembliesController.cs","143","96","143","105"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].","/Ribosoft/Controllers/AssembliesController.cs","130","111","130","120"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/Ribosoft/Controllers/AssembliesController.cs","176","86","176","103"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/Ribosoft/Controllers/AssembliesController.cs","161","21","161","38"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].
This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/Ribosoft/Services/DatasetDownloadService.cs","70","124","70","133"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].
This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/Ribosoft/Services/DatasetDownloadService.cs","90","83","90","92"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].
This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/Ribosoft/Services/DatasetDownloadService.cs","96","29","96","38"
"Log entries created from user input","Building log entries from user-controlled sources is vulnerable to insertion of forged log entries by a malicious user.","error","This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:126:65:126:74""]].
This log entry depends on a [[""user-provided value""|""relative:///Ribosoft/Controllers/AssembliesController.cs:156:90:156:96""]].","/Ribosoft/Services/DatasetDownloadService.cs","102","99","102","108"
"Arbitrary file access during archive extraction (""Zip Slip"")","Extracting files from a malicious ZIP file, or similar type of archive, without validating that the destination file path is within the destination directory can allow an attacker to unexpectedly gain access to resources.","error","Unsanitized archive entry, which may contain '..', is used in a [[""file system operation""|""relative:///Ribosoft/Jobs/CreateBlastDatabaseJob.cs:277:45:277:59""]].","/Ribosoft/Jobs/CreateBlastDatabaseJob.cs","269","73","269","86"
